DeviceID,KilowattHours,TStamp
4,0.0271822,2020-12-04 21:35
4,0.0226239,2020-12-04 21:35
4,0.0270716,2020-12-04 21:36
4,0.0247015,2020-12-04 21:36
4,0.0249785,2020-12-04 21:36
4,0.024457,2020-12-04 21:36
4,0.0249668,2020-12-04 21:36
4,0.0211682,2020-12-04 21:36
4,0.0242861,2020-12-04 21:36
4,0.0268209,2020-12-04 21:36
4,0.0282021,2020-12-04 21:36
4,0.021508,2020-12-04 21:36
4,0.0265762,2020-12-04 21:36
4,0.0305912,2020-12-04 21:36
4,0.0248715,2020-12-04 21:37
4,0.0302368,2020-12-04 21:37
4,0.0329656,2020-12-04 21:37
4,0.028065,2020-12-04 21:37
4,0.0305007,2020-12-04 21:37
4,0.0318687,2020-12-04 21:37
4,0.0233312,2020-12-04 21:37
4,0.022969,2020-12-04 21:37
4,0.0310953,2020-12-04 21:37
4,0.0294974,2020-12-04 21:37
4,0.0284681,2020-12-04 21:37
4,0.0283513,2020-12-04 21:37
4,0.0332497,2020-12-04 21:38
4,0.0266788,2020-12-04 21:38
4,0.0303894,2020-12-04 21:38
4,0.0289585,2020-12-04 21:38
4,0.0329405,2020-12-04 21:38
4,0.0289101,2020-12-04 21:38
4,0.029943,2020-12-04 21:38
4,0.0262146,2020-12-04 21:38
4,0.0310634,2020-12-04 21:38
4,0.027565,2020-12-04 21:38
4,0.0322887,2020-12-04 21:38
4,0.0219197,2020-12-04 21:38
4,0.0251772,2020-12-04 21:39
4,0.0244295,2020-12-04 21:39
4,0.0278331,2020-12-04 21:39
4,0.0219034,2020-12-04 21:39
4,0.0267036,2020-12-04 21:39
4,0.022343,2020-12-04 21:39
4,0.02425,2020-12-04 21:39
4,0.0330505,2020-12-04 21:39
4,0.0211528,2020-12-04 21:39
4,0.0332163,2020-12-04 21:39
4,0.0291694,2020-12-04 21:39
4,0.0227125,2020-12-04 21:39
4,0.0245348,2020-12-04 21:40
4,0.031719,2020-12-04 21:40
4,0.0331696,2020-12-04 21:40
4,0.0238113,2020-12-04 21:40
4,0.0303198,2020-12-04 21:40
4,0.0298631,2020-12-04 21:40
4,0.0253298,2020-12-04 21:40
4,0.0320478,2020-12-04 21:40
4,0.0249053,2020-12-04 21:40
4,0.0326166,2020-12-04 21:40
4,0.020604,2020-12-04 21:40
4,0.0238199,2020-12-04 21:40
4,0.0318721,2020-12-04 21:41
4,0.0206257,2020-12-04 21:41
4,0.0216209,2020-12-04 21:41
4,0.0300505,2020-12-04 21:41
4,0.0261042,2020-12-04 21:41
4,0.0298502,2020-12-04 21:41
4,0.0296415,2020-12-04 21:41
4,0.0221627,2020-12-04 21:41
4,0.0257864,2020-12-04 21:41
4,0.0262564,2020-12-04 21:41
4,0.0319264,2020-12-04 21:41
4,0.0317253,2020-12-04 21:41
4,0.0308032,2020-12-04 21:42
4,0.02621,2020-12-04 21:42
4,0.0206152,2020-12-04 21:42
4,0.0224842,2020-12-04 21:42
4,0.0312416,2020-12-04 21:42
4,0.0267741,2020-12-04 21:42
4,0.0303191,2020-12-04 21:42
4,0.0321426,2020-12-04 21:42
4,0.023164,2020-12-04 21:42
4,0.0281205,2020-12-04 21:42
4,0.0205803,2020-12-04 21:42
4,0.0221044,2020-12-04 21:42
4,0.0211537,2020-12-04 21:43
4,0.0245202,2020-12-04 21:43
4,0.0302022,2020-12-04 21:43
4,0.0257039,2020-12-04 21:43
4,0.0217469,2020-12-04 21:43
4,0.0236399,2020-12-04 21:43
4,0.0209375,2020-12-04 21:43
4,0.020868,2020-12-04 21:43
4,0.0226797,2020-12-04 21:43
4,0.0231596,2020-12-04 21:43
4,0.0246541,2020-12-04 21:43
4,0.0298194,2020-12-04 21:43
4,0.0303715,2020-12-04 21:44
4,0.0255192,2020-12-04 21:44
4,0.0242514,2020-12-04 21:44
4,0.0294724,2020-12-04 21:44
4,0.0286626,2020-12-04 21:44
4,0.0246765,2020-12-04 21:44
4,0.0264501,2020-12-04 21:44
4,0.0217738,2020-12-04 21:44
4,0.0300392,2020-12-04 21:44
4,0.0211673,2020-12-04 21:44
4,0.0299262,2020-12-04 21:44
4,0.0212965,2020-12-04 21:44
4,0.0323568,2020-12-04 21:45
4,0.0254328,2020-12-04 21:45
4,0.0227492,2020-12-04 21:45
4,0.0326798,2020-12-04 21:45
4,0.0205056,2020-12-04 21:45
4,0.0333799,2020-12-04 21:45
4,0.0288225,2020-12-04 21:45
4,0.0297207,2020-12-04 21:45
4,0.0280056,2020-12-04 21:45
4,0.0226538,2020-12-04 21:45
4,0.0288736,2020-12-04 21:45
4,0.0282574,2020-12-04 21:45
4,0.0280446,2020-12-04 21:46
4,0.0309131,2020-12-04 21:46
4,0.0330384,2020-12-04 21:46
4,0.0252937,2020-12-04 21:46
4,0.0325596,2020-12-04 21:46
4,0.0213567,2020-12-04 21:46
4,0.0258743,2020-12-04 21:46
4,0.0332844,2020-12-04 21:46
4,0.0274212,2020-12-04 21:46
4,0.0332634,2020-12-04 21:46
4,0.0259854,2020-12-04 21:46
4,0.0220954,2020-12-04 21:46
4,0.0223269,2020-12-04 21:47
4,0.0276707,2020-12-04 21:47
4,0.0325087,2020-12-04 21:47
4,0.0221591,2020-12-04 21:47
4,0.0235315,2020-12-04 21:47
4,0.0246282,2020-12-04 21:47
4,0.024025,2020-12-04 21:47
4,0.0237795,2020-12-04 21:47
4,0.0221028,2020-12-04 21:47
4,0.0264967,2020-12-04 21:47
4,0.0272324,2020-12-04 21:47
4,0.025285,2020-12-04 21:47
4,0.0305766,2020-12-04 21:48
4,0.0220331,2020-12-04 21:48
4,0.0298445,2020-12-04 21:48
4,0.021003,2020-12-04 21:48
4,0.0307097,2020-12-04 21:48
4,0.0214038,2020-12-04 21:48
4,0.0314279,2020-12-04 21:48
4,0.025281,2020-12-04 21:48
4,0.031681,2020-12-04 21:48
4,0.0316349,2020-12-04 21:48
4,0.0270346,2020-12-04 21:48
4,0.0209691,2020-12-04 21:48
4,0.0332865,2020-12-04 21:49
4,0.0206391,2020-12-04 21:49
4,0.0263819,2020-12-04 21:49
4,0.0210178,2020-12-04 21:49
4,0.0283874,2020-12-04 21:49
4,0.0255583,2020-12-04 21:49
4,0.0209294,2020-12-04 21:49
4,0.0220267,2020-12-04 21:49
4,0.0244294,2020-12-04 21:49
4,0.0259762,2020-12-04 21:49
4,0.0330746,2020-12-04 21:49
4,0.0321501,2020-12-04 21:49
4,0.0266367,2020-12-04 21:50
4,0.0208516,2020-12-04 21:50
4,0.0222468,2020-12-04 21:50
4,0.0211255,2020-12-04 21:50
4,0.0323174,2020-12-04 21:50
4,0.0224577,2020-12-04 21:50
4,0.0322831,2020-12-04 21:50
4,0.0236803,2020-12-04 21:50
4,0.0294535,2020-12-04 21:50
4,0.0276335,2020-12-04 21:50
4,0.0244811,2020-12-04 21:50
4,0.0264968,2020-12-04 21:51
4,0.0206701,2020-12-04 21:51
4,0.0240118,2020-12-04 21:51
4,0.0319869,2020-12-04 21:51
4,0.0270925,2020-12-04 21:51
4,0.0332861,2020-12-04 21:51
4,0.0304019,2020-12-04 21:51
4,0.024616,2020-12-04 21:51
4,0.0233677,2020-12-04 21:51
4,0.0257736,2020-12-04 21:51
4,0.0205712,2020-12-04 21:51
4,0.0315296,2020-12-04 21:51
4,0.0270202,2020-12-04 21:52
4,0.0230805,2020-12-04 21:52
4,0.0321941,2020-12-04 21:52
4,0.0230149,2020-12-04 21:52
4,0.032941,2020-12-04 21:52
4,0.0229987,2020-12-04 21:52
4,0.0238633,2020-12-04 21:52
4,0.026504,2020-12-04 21:52
4,0.024389,2020-12-04 21:52
4,0.0317258,2020-12-04 21:52
4,0.0291289,2020-12-04 21:52
4,0.023242,2020-12-04 21:52
4,0.0278627,2020-12-04 21:53
4,0.0230343,2020-12-04 21:53
4,0.031674,2020-12-04 21:53
4,0.0207316,2020-12-04 21:53
4,0.0228334,2020-12-04 21:53
4,0.02354,2020-12-04 21:53
4,0.0302614,2020-12-04 21:53
4,0.0222743,2020-12-04 21:53
4,0.0284743,2020-12-04 21:53
4,0.0282442,2020-12-04 21:53
4,0.0321736,2020-12-04 21:53
4,0.0263324,2020-12-04 21:53
4,0.0298834,2020-12-04 21:54
4,0.0226483,2020-12-04 21:54
4,0.030849,2020-12-04 21:54
4,0.0325673,2020-12-04 21:54
4,0.0249364,2020-12-04 21:54
4,0.027305,2020-12-04 21:54
4,0.0288446,2020-12-04 21:54
4,0.0253905,2020-12-04 21:54
4,0.0242247,2020-12-04 21:54
4,0.0309538,2020-12-04 21:54
4,0.0250668,2020-12-04 21:54
4,0.021179,2020-12-04 21:54
4,0.0308053,2020-12-04 21:55
4,0.023397,2020-12-04 21:55
4,0.0254848,2020-12-04 21:55
4,0.02893,2020-12-04 21:55
4,0.0260025,2020-12-04 21:55
4,0.0285808,2020-12-04 21:55
4,0.0261092,2020-12-04 21:55
4,0.0238196,2020-12-04 21:55
4,0.03012,2020-12-04 21:55
4,0.0319475,2020-12-04 21:55
4,0.0300865,2020-12-04 21:55
4,0.0252903,2020-12-04 21:55
4,0.0216801,2020-12-04 21:56
4,0.0328778,2020-12-04 21:56
4,0.028006,2020-12-04 21:56
